Name,Website,City,County,Fat Access Info,Status,New Status Field,,Notes
Sherman Theatre,https://www.shermantheatre.co.uk/,Cardiff,South Glamorgan,https://www.shermantheatre.co.uk/wp-content/uploads/2022/11/Main-House-Seating-Info.pdf,Already Existed,Information Available,,"Width of seat: 13.5 Inches, Space between armrests: 18 inches, Length of seat: 18 Inches, Length of armrest: 9 inches, Height of seat (from top of backrest to the seat itself): 19 inches
Please note the armrests are not removable. There is however the option of being seated in armless seats in our Access Gallery.
"
Sage Gateshead,https://sagegateshead.com/,Gateshead,Tyne and Wear,,Campaign Win,Information Available - Win,,"Seats in Sage One are 46cm wide, and have fixed arm rests
Seats in Sage Two are 52cm wide. The central area on level one does not have arm rests. All other seats have fixed arm rests. If you’re attending a show with cabaret style seating this may change, so give the team a call to double check
We have a wide range of seating options across our front of house areas, from single chairs to booth style benches"
Bristol Beacon,https://bristolbeacon.org/,Bristol,Bristol,,Provided - Not on Website,Information Available - Win,,"All seats will have arm rests and they cannot be moved. In the first 10 rows the armrests are up when not being used but when seat base is pushed down the armrests come down too, this cannot be changed.

The seats will be a minimum of 500mm wide some will be 530mm. As mentioned above the location of the larger seats is not yet known.
 We will have aisle seats which means one side is free but no isolated seats. There are spaces for wheelchair users where seats can be added which may give more space for an individual, but I would recommend any customer who is unfamiliar with our spaces and has queries over seats that would suit their needs should call or email the Box Office for advice."
The Forum Bath,https://www.bathforum.co.uk/,Bath,Somerset,,Provided - Not on Website,Information Available - Win,,"We have three different types of seat, all of which are included in the list below stating measurements and seat numbers. All aisle seats are displayed clearly on our seating plan, please find below. Please note, Row S in the circle does NOT have any aisle seats.

Red Loose Seats (no arm rests):

All Circle: Depth: 17.5 inches Width: 15.75 inches
G9-G20
G33-G44
O5-O8 
P5-P8
Q4-Q8
R1-R8
S1-S52
R45-R52
Q45-Q51
P45-P48
O45-O48
N45-N48


Green Loose Seats (no arm rests):
All StallsL Depth: 17.5 inchesWidth: 15.75 inche
AA5-AA44
A3-A46
B3-B46
C4-C7
C44-C46
D3-D6
D45-46
E2-5
E46-47
G1

Fixed seats (non-moveable arm rests):
All other seats.
Depth: 16 inches
Width: 19 inches"
The Hexagon,https://whatsonreading.com/,Reading,Berkshire,,Requested - ACknowledged,Information Available - Win,,"Our widest seats are in the balcony, the following ones are the biggest – A2-6, B11-16, G1-3, K31-39 and 61-67. Generally the balcony seats are wider than the stalls and arena so they would be better off upstairs.
All the seats in the stalls have arms that fold up but the arena and the balcony have fixed arms. "
South Street,https://whatsonreading.com/,Reading,Berkshire,,Requested - Chased,Requested,,"24/04/23 - Requested. 
13/06/23 - Chased
02/08/23 - Final Chase"
Reading Town Hall,https://whatsonreading.com/,Reading,Berkshire,,Requested - Chased,Requested,,"24/04/23 - Requested. 
13/06/23 - Chased
02/08/23 - Final Chase"
"Utilita arena, Birmingham",https://www.utilitaarenabham.co.uk/,Birmingham,West Midlands,,Won't Provide,Unable to Provide,,"24/04/23 - Requested
26/04/23 - Passed to ops manager for review. 
24/07/23 - Requested an update. Response saying they were unable to provide as it is different for each event."
"DeMontfort Hall, Leicester",https://www.demontforthall.co.uk/,Leicester,Leicestershire,,Requested - Acknowledged,In Progress,,"24/04/23 - Requested
26/04/23 - Working on providing
24/07/23 - Requested Update. Hoping to provide in August. Check back in September."
"The Curve Theatre, Leicester",https://www.curveonline.co.uk/,Leicester,Leicestershire,,Requested - Acknowledged,In Progress,,"24/04/23 - Requested
26/04/23 - Working on providing
24/07/23 - Requested Update"
"The Phoenix, Leicester",https://www.phoenix.org.uk/,Leicester,Leicestershire,,Provided - Not on Website,Information Available - Win,,"For Screen 3 and 4 the specifications are identical.
There are 6 rows of seats in each screen. The width of seats in rows A –E – 45.5 cm. On row F – 43cm.
The length between rows: A to B – 60cm. B to C, C to D, D to E – 55cm. E to F – 54cm.  There are no arm rests that move.
 
For Screen 1 and 2 the width of seats are uniform.
The arm to arm seat width – 45cm.
The length between rows is 37cm.  Except for rows: L to M – 105cm; M to N – 44cm.  
Screen 1: The seats that have arm rests that move: A1, B1, C1, D1, E1, F1, G1, H1, J1, K1, L1, M1, N1. 
Screen 2: The seats that have arm rests that move:   A1, B1, C1, D1, E1, F1, G1, H1, J1."
"Sue Townsend Theatre, Leicester",https://leicestercollege.ac.uk/sue-townsend/,Leicester,Leicestershire,,Requested - Chased,Requested,,"24/04/23 - Requested. 
13/06/23 - Chased
02/08/23 - Final Chase"
"Royal Concert Hall, Nottingham",https://trch.co.uk/,Nottingham,Nottinghamshire,,Requested - Acknowledged,In Progress,,"24/04/23: Requested
26/04/23: Looking to collate data
24/07/23: Requested Update"
"Motorpoint Arena, Nottingham",https://www.motorpointarenanottingham.com/,Nottingham,Nottinghamshire,,Requested - Chased,Requested,,"24/04/23: Requested. 
24/07/23: Chased"
"M&S Bank Arena, Liverpool",https://www.mandsbankarena.com/,Liverpool,Merseyside,,Provided - Not on Website,Information Available - Win,,"The seats at the M&S Bank arena are around 40-45cm in width. They do indeed have moveable arm rests that raise upwards.
There are Isle seats at the end of every row that only have 1 seat on their inside, given the size of the venue. I am unable to provide you with the exact seat details / numbers of each one. If you wish to book these you can contact us on 0344 800 0410. 
If somebody is larger and wishes to book tickets where that they think will be more comfortable then we recommend contacting us via phone. We are open 0900-1700 Monday to Friday. "
"AO Arena, Manchester",https://www.ao-arena.com/,Manchester,Lancashire,,Requested - Chased,Requested,,"24/04/23 - Requested. 
13/06/23 - Chased
02/08/23 - Final Chase"
"SSE Arena, Belfast",https://www.ssearenabelfast.com/,Belfast,Country Antrim,,Requested - Acknowledged,In Progress,,"4/04. 16/05 - passed to management 
224/07 - Requested Update"
"The Little Threatre, Leicester",https://www.thelittletheatre.co.uk/,Leicester,Leicestershire,,Provided - Not on Website,Information Available - Win,,"All the seats are the same 17""x 17"". The arm rests are static. The only seats that haven't seats either side are aisle seats."
O2 Ritz Manchester,https://www.academymusicgroup.com/o2ritzmanchester,Manchester,Lancashire,,Provided - Not on Website,Information Available - Win,,Limited seating is available in the form of sofas without arm rests on the balcony.
Barnsley Civic Theatre,https://barnsleycivic.co.uk/,Barnsley,South Yorkshire,,Requested - Acknowledged,In Progress,,"24/04/23 - Requested
10/05/23 - Sent through to their CEO.
24/07/23 - Requested an update"
Barnsley Lamproom,https://barnsleylamproom.com/,Barnsley,South Yorkshire,,Provided - Not on Website,Information Available - Win,,"The width of our seats are 18"" (45cm) square in all areas but E row is a wider aisle for access. All seats have fixed arms. Only aisle seats have no seats next to them and the theatre has centre aisle only.
Seats can be booked on line, by phone or in person at the box office. Accessibility to the seating area is good, with E row having no steps to negotiate. If a person would like to view the area prior to booking, they are free to do so between 10am and 2.30pm Monday to Friday.
"
The Old School House,https://oldschoolhouseyorkshire.com/,Barnsley,South Yorkshire,,Requested - Chased,Didn't Respond,,"25/04/23  - Requested
10/05/23 & 14/06/23 - Chased"
Rotherham Civic Theatre,http://www.rotherhamtheatres.co.uk/,Rotherham,South Yorkshire,,Requested - Acknowledged,In Progress,,"26/04/23 - Requested
14/06/23 - Chased
24/07/23 - Confirmed they were waiting on a surveyor to visit."
Barnsley Metrodome,https://metrodome.org.uk/,Barnsley,South Yorkshire,,Requested - Chased,Didn't Respond,,"25/04/23  - Requested
10/05/23 & 14/06/23 - Chased"
Crucible Sheffield,https://www.sheffieldtheatres.co.uk/about,Sheffield,South Yorkshire,,Provided - Not on Website,Information Available - Win,,"The widest seats are 570mm wide:
Red door:
A22, C17-C20, C31-C34, D19-D20, D24-D28, D29-D33 ,D37-38 ,E32-34 ,E35-E37, J38
Purple Door:
E17-E18, F20, H19-H22
Orange Door:
E51-E52, F57, H64-H66

The next largest are the ones are 540mm wide, then 510mm wide.

We also offer a balcony area on Blue Door where we have stand-alone seats offered (with or without arms) that also offer plenty of legroom. These are padded and comfortable.
"
Sheffield Theatre,https://www.sheffieldtheatres.co.uk/about,Sheffield,South Yorkshire,,Requested - Chased,Didn't Respond,,"25/04/23  - Requested
10/05/23 & 14/06/23 - Chased"
Playhouse Sheffield,https://www.sheffieldtheatres.co.uk/about,Sheffield,South Yorkshire,,Requested - Chased,Didn't Respond,,"25/04/23  - Requested
05/06/23 - Chased"
Ambassadors Theatre,https://www.theambassadorstheatre.co.uk/,Woking,Surrey,,Provided - Not on Website,Information Available - Win,,"All seats are the same, the width is 42 cm and the depth is 46cm. At the narrowest point in the venue rows there is 18cm clearance from the front of the seat. None of our seats have removable arms
Which seats have no seats next to them - ends of rows, Circle B1 and B22. Box C has better legroom, but the seats are fixed. Stalls seats have marginally more legroom. "
Courtyard Theatre,https://www.courtyard.org.uk/,Hereford,Herefordshire,,Campaign Win,Information Available - Win,,Seats in our Main House and Studio Theatre are approximately 450mm wide. Arm rests are not removable from these seats. If you would like to be seated in armless seats this is possible in our Main House boxes or front row Studio on request. Please call Box Office to book or get in touch via access@courtyard.org.uk
Malvern Theatres,https://www.malvern-theatres.co.uk/,Malvern,Worcestershire,,Requested - Chased,Requested,,"24/04/23 - Requested. 
24/07/23 - Chased"
The Edge Theatre,https://www.edgetheatre.co.uk/,Manchester,Lancashire,,Provided - Not on Website,Information Available - Win,,"We have 10 aisle seats that have neither arm rests nor seats on one side of them. All of the seats are 17 inches wide, and all seating is unreserved."
Georgian Theatre Royal,https://www.georgiantheatreroyal.co.uk/,Richmond,London,,Requested - Chased,Requested,,"24/04/23 - Requested. 
16/06/23 - Chased
02/08/23 - Final Chase"
Royal Hall Harrogate ,https://www.harrogateconventioncentre.co.uk/,Harrogate,North Yorkshire,,Campaign Win,Information Available - Win,,https://www.harrogateconventioncentre.co.uk/visitors/accessibility
The Bradford Playhouse,https://bradfordplayhouse.org.uk/,Bradford,West Yorkshire,,Requested - Chased,Requested,,"12/05/23 - Requested 
13/06/23 - Chased
02/08/23 - Final Chase"
Theatre Royal Wakefield,https://www.theatreroyalwakefield.co.uk/,Wakefield,West Yorkshire,,Requested - Chased,Requested,,"12/05/23 - Requested 
13/06/23 - Chased
02/08/23 - Final Chase"
Lawrence Batley Theatre,https://www.thelbt.org/,Huddersfield,West Yorkshire,,Already Existed,Information Available,,"The majority of seats in our theatre are front facing flip-up seats with armrests. The average seat width is approximately 39cm. The average legroom is approximately 60cm. End of row M, seats 11 and 12, have the closest access to toilets. "
Square Chapel,https://squarechapel.co.uk/,Wakefield,West Yorkshire,,Requested - Chased,Requested,,"12/05/23 - Requested 
02/08/23 - Chased"
The Halls,https://www.thehallswolverhampton.co.uk,Wolverhampton,West Midlands,,Won't Provide,Unable to Provide,,Confirmed that as they are a new venue they are unable to give the time to provide. 
"Arnolfini, Bristol",https://arnolfini.org.uk/,Bristol,Bristol,,Requested,Requested,,"12/05/23 - Requested, unclear as to whether they do sit down events?"
Cromer Pier Theatre,https://www.cromerpier.co.uk/,Cromer,Norfolk,,Requested - Chased,Requested,,"12/05/23 - Requested 
13/06/23 - Chased
02/08/23 - Final Chase"
Princess Theatre,https://princesshunstanton.co.uk/,Hunstanton,Norfolk,,Requested - Chased,Requested,,"12/05/23 - Requested 
13/06/23 - Chased
02/08/23 - Final Chase"
Madder Market ,https://maddermarket.co.uk,Norwich,Norfolk,,Provided - Not on Website,Information Available - Win,,"The seats are all the same size and design throughout the theatre. They are 46cm wide, and all have static armrests.  Stand alone seats are the essential companion seats next to our wheelchair spaces, of which we have two. Aisle seats are seats 3,4,16 and 17 in rows C to O on the lower floor, and seats P1, P12, Q1, Q13, R1 and R12 in the gallery. Personally, I would not advise the gallery seating as leg room is slightly restricted due to the safety railing.

At present we do not have any measures in place to facilitate for customers who would require extra space with seating, but it is something that we will consider when we revisit the theatre's accessibilty in the future."
Sheringham Little Theatre,https://sheringhamlittletheatre.com/,Norfolk,Norfolk,,Requested - Chased,Requested,,"12/05/23 - Requested 
13/06/23 - Chased
02/08/23 - Final Chase"
Everyman & The Playhouse,https://www.everymanplayhouse.com/,Liverpool,Merseyside,,Requested - acknowledged,In Progress,,"05/06/23 - Requested
06/06/23 - Confirmed receipt and will work on providing.
24/07/23 - Requested an update"
Liverpool Empire,https://www.atgtickets.com/venues/liverpool-empire,Liverpool,Merseyside,,Already Existed,Information Available,,Our seats are 19 inches wide from arm rest to arm rest.
Royal Court ,https://liverpoolsroyalcourt.com/,Liverpool,Merseyside,,Campaign Win,Information Available - Win,,"The seat dimensions in each area are as follows:
Stalls (seats with no arms) 38cm deep, 43cm wide
Circle row A to M (seats with arms) 44cm deep, 45cm wide
Circle row N (seats with arms) 44cm deep, 93cm wide
Balcony row A to L (seats with arms) 44cm deep, 45cm wide
Balcony row M to Q (seats with no arms) 40cm deep, 45cm wide"
Theatre Royal,https://www.theatreroyal.co.uk/,Newcastle,Tyne and Wear,,Requested - acknowledged,In Progress,,"05/06/23 - Requested
06/06/23 - Confirmed receipt and will work on providing.
24/07/23 - Requested an update - Thank you so much for your email regarding The Fat Friendly Seat Campaign. We are in the process of having an organisation wide Equality, Diversity and Inclusion Audit carried out, which will incorporate an audit of our website. We will be making updates to our access pages following this, which will include having an accessible amenity seating guide available for our customers. This guide will hold information including the dimensions of our seats and those with/without arm rests. Our hope is to have these updates in place and accessible for our customers from September/October time"
Tyne Theatre and Opera,https://www.tynetheatreandoperahouse.uk/,Newcastle,Tyne and Wear,,Campaign Win,Information Available - Win,,"Due to the age of the Grade I listed Victorian theatre building our seating options are quite limited. If you require wide seating or additional legroom, our box office team will be best to advise you on where you may be most comfortable depending on remaining availability for a particular show. You can contact our box office team on 0191 243 1171 (10am-3:30pm Mon-Fri) for guidance.

Our standard seating has approximately 42cm between the arm rests and the arm rests are not moveable. If you require more space than this, please get in touch with our box office team when booking who will be able to arrange alternative seating for you, subject to availability. 
"
Gala Durham,https://galadurham.co.uk/,Durham,County Durham,,Requested - Chased,Requested,,"12/05/23 - Requested 
13/06/23 - Chased
02/08/23 - Final Chase"
Assembly Rooms,https://www.theassemblyroomstheatre.org/,Durham,County Durham,,Requested - Chased,Information Available - Win,,"Our seats are 42cm wide by 47cm deep, with fixed armrests. Our layout is viewable by clicking through to buy tickets. If you would prefer a seat without armrests, please email us in good time ahead of your visit, and we will endeavour to accommodate you in our accessible seating area of the Balcony. Please note that there is very limited space, but we will do our best to allocate accessible seating on a fair basis."
Festival Theatre,https://www.capitaltheatres.com/,Edinburgh,West Lothian,,Requested - Chased,Requested,,"05/06/23 - Requested
13/06/23 - Chased
02/08/23 - Final Chase"
The Studio,https://www.capitaltheatres.com/,Edinburgh,West Lothian,,Requested - Chased,Requested,,"05/06/23 - Requested
13/06/23 - Chased
02/08/23 - Final Chase"
Kings Theatre,https://www.capitaltheatres.com/,Edinburgh,West Lothian,,Requested - Chased,Requested,,"05/06/23 - Requested
13/06/23 - Chased
02/08/23 - Final Chase"
Lyceum,https://lyceum.org.uk/,Edinburgh,West Lothian,,Already Existed,Information Available,,"SeatingAll seating within our auditorium (with the exception of seats in The Boxes) is Fixed Auditorium Seating. These seats are 45cm wide, with an average legroom of 65cm from the base of the seat to the back of the row in front. In The Boxes, there are Loose Chair Seating. These seats vary in width, from 48-52cm wide, with varying average legroom as well. If you require more information about seating options at The Lyceum (including if neither of these options are suitable), then please contact our Box Office team on 0131 248 4848 and boxoffice@lyceum.org.uk."
Traverse Theatre,https://www.traverse.co.uk/,Edinburgh,West Lothian,,Campaign Win,Information Available - Win,,"Traverse 1 has bench seating, there are no limits to the width of each individual seat. There are no armrests. There are seats with no one next to them at the end of each row.
 
Seats in Traverse 2 are 500mm wide with fixed in place armrests. There is very limited space in between seats. At the end of each row, there are seats with no one sitting next to them, although there is a railing for safety reasons.

If you have any questions regarding our Fat Accessibility please email our Sales and Welcome Team at boxoffice@traverse.co.uk who will be able to advise further."
Bedlam Theatre,https://www.bedlamtheatre.co.uk/,Edinburgh,West Lothian,,Requested - Chased,Requested,,"05/06/23 - Requested
13/06/23 - Chased
02/08/23 - Final Chase"
Church Hill Theatre,https://churchhilltheatre.co.uk/your,Edinburgh,West Lothian,,Requested - Chased,Requested,,"05/06/23 - Requested
13/06/23 - Chased
02/08/23 - Final Chase"
The Abbey Theatre,https://www.abbeytheatre.org.uk/,St Albans,Hertfordshire,,Provided - Not on Website,Information Available - Win,,"The width of seats in each area.  In the main auditorium, seats are 16-17 inches wide, with Rows A & B slightly nearer 16"" and remaining rows 17"". All our seats in the main theatre have fixed arm rests on both sides.
 Seats at either end of every row have seats on one side only, but still have fixed arm rests on the aisle side.
 As our seats are in fixed rows on joined metal frames, there is not much flexibility. Customers with access requests should contact me direct to discuss options.  We remove two seats at the far end of the front row to accommodate a wheelchair, and it might be possible to look at having a free-standing chair in this space on request, but this has H&S implications in the event of an emergency."
The Alban Arena,https://alban-arena.co.uk/,St Albans,Hertfordshire,,Provided - Not on Website,Information Available - Win,,"Flat Floor seating.
Width Between Arms - 450mm / Depth of seat - 440mm
Type of arm - Folding in line with backrest
Leg Room -  Row A plus Row B 2, 36 & Row D 1, 37 1mtr +
Row B 3 – 35, C 3 - 35, D 2 – 36, E & F 300mm
 
Row G.
Width Between Arms - 510mm / Depth of seat - 400mm
Type of arm - Fixed
Depth of seat - 400mm
Leg Room - 500
 
Tiered seating.
Width Between Arms - 450mm / Depth of seat - 410mm
Type of arm - Fixed
Leg Room - 300mm (seats P 9, 10, 22 and 23 top of stairs 1mtr +)
 
Circle seating AA, BB, HH, JJ, LL & MM
Width Between Arms - 480mm / Depth of seat - 420mm
Type of arm - Fixed
Leg Room - 270
 
Circle seating CC, KK & NN.
Width Between Arms - 450mm / Depth of seat - 400mm
Type of arm - Fixed
Leg Room - CC 1Mtr +, NN, KK 500  

Circle seating DD - GG.
Width Between Arms - 470mm / Depth of seat - 420mm
Type of arm - Fixed
Leg Room270 (GG 13, 14, 28 & 29 top of stairs 1mtr +)"
Chester Little Theatre,https://www.chesterlittletheatre.co.uk/,Chester,Cheshire,,Requested - Chased,Requested,,"05/06/23 - Requested
13/06/23 - Chased
02/08/23 - Final Chase"
Joseph Rowntree Theatre,https://www.josephrowntreetheatre.co.uk,York,North Yorkshire,,Requested - ACknowledged,In Progress,,"05/06/23 - Requested
13/06/23 - Chased
14/06/23 - Confirmed they were working on it
24/07/23 - Requested update."
Mitchell Arts Centre,https://mitchellartscentre.co.uk/,Stoke on Trent,Staffordshire,,Requested - Chased,Requested,,"05/06/23 - Requested
13/06/23 - Chased
02/08/23 - Final Chase"
New Vic,https://www.newvictheatre.org.uk/,Newcastle Under Lyme,Tyne and Wear,,Requested - Chased,Requested,,"05/06/23 - Requested
13/06/23 - Chased
02/08/23 - Final Chase"
Roundhouse,https://www.roundhouse.org.uk,London,London,,Requested - Chased,Requested,,"05/06/23 - Requested
13/06/23 - Chased
02/08/23 - Final Chase"
O2 City Hall,https://www.academymusicgroup.com/o2cityhallnewcastle,Newcastle,Tyne and Wear,,Requested - Chased,Requested,,"05/06/23 - Requested
13/06/23 - Chased
02/08/23 - Final Chase"
Ulster Hall,https://www.ulsterhall.co.uk/,Belfast,Country Antrim,,Requested - Chased,In Progress,,"05/06/23 - Requested
13/06/23 - Chased
02/08/23 - Final Chase, acknowledged and requested information on other venues."
Portsmouth Guildhall,https://www.portsmouthguildhall.org.uk/,Portsmouth,Hampshire,,Campaign Win,Information Available - Win,,"Below is a guide to seat widths and legroom. Please note that all seats have fixed arm rests, and legroom is measured from the front edge of your seat to the back of the seat in front. All measurements are in millimetres.

Stalls:
Seat width: 420mm
Leg room: 300mm
Upper Stalls:
Seat width: 420mm
Leg room: 240mm
Circle:
Seat width: 420mm
Leg room: 200mm

Seats in The Lens Studio are freestanding with no arm rests and have a width of 470mm."
Plymouth Pavilions,https://www.plymouthpavilions.com/,Plymouth,Devon,,Won't Provide,Unable to Provide,,"05/06/23 - Requested
13/06/23 - Chased
14/06/23 - Confirmed customers must call accessibility lines."
The Royal Northern College of Music,https://www.rncm.ac.uk/,Manchester,Lancashire,,Requested - Chased,In Progress,,"05/06/23 - Requested
13/06/23 - Chased
02/08/23 - Final Chase, Received confirmation email saying they were working on collating.
"
Howard Assembly Rooms,https://www.operanorth.co.uk/,Leeds,West yorkshire,,Requested - Chased,Requested,,"05/06/23 - Requested
13/06/23 - Chased
02/08/23 - Final Chase"
Aberystwyth Arts Centre,http://www.abertoir.co.uk/about/accessibility,Aberystwyth,Ceredigion,,Campaign Win,Information Available - Win,,"Seat sizes are 560mm wide for most, except the following seats, which are 535mm wide: A1-2 & 9, C1-3 & 13-15, D1-5 & 13-17, F1 & 17, G1-2 & 14-15, and all of row H (back row). The armrests between seats H3-4 and H7-8 can be moved, creating a larger seating area, if these have not been removed to accommodate wheelchair users."
The Anvil,https://www.anvilarts.org.uk/,Basingstoke,Hampshire,,Requested - Acknowledged,In Progress,,"05/06/23 - Requested. 
24/07/23 - Confirmed they would work on providing over the summer. Check back early Sept?"
The Haymarket,https://www.anvilarts.org.uk/,Basingstoke,Hampshire,,Requested - Acknowledged,In Progress,,"05/06/23 - Requested. 
24/07/23 - Confirmed they would work on providing over the summer. Check back early Sept?"
The Lights,https://www.thelights.org.uk/,Andover,Hampshire,,Requested - Chased,Requested,,"05/06/23 - Requested
24/07/23 - Chased"
G Live,https://glive.co.uk/Online,Guildford,Surrey,,Requested - Acknowledged,In Progress,,"05/06/23 - Requested. 
24/07/23 - Confirmed they would work on providing over the summer. Check back early Sept?"
Bellerby Studios,https://glive.co.uk/Online,Guildford,Surrey,,Requested - Acknowledged,In Progress,,"05/06/23 - Requested. 
24/07/23 - Confirmed they would work on providing over the summer. Check back early Sept?"
Yvonne Arnaud Theatre,https://www.yvonne-arnaud.co.uk/,Guildford,Surrey,,Campaign Win,Information Available - Win,,"Our seats are 520mm wide, and the space between the arms its 480mm. None of our shared arm rests can be moved or removed. The arm rests on our box seats can be moved/removed, and the box seats are freestanding arm chairs. 

Please speak to a member of the team if you have any questions or queries regarding the size of our seating or its suitability.  "
Theatre Royal,https://www.theatreroyalwinchester.co.uk/,Winchester,Hampshire,,Requested - Acknowledged,In Progress,,"05/06/23 - Requested. 
24/07/23 - Confirmed they would work on providing over the summer. Check back early Sept?"
The Arc,https://www.arcwinchester.org.uk/,Winchester,Hampshire,,Already Existed,Information Available,,"Performance hall seats are 45cm wide and hold a maximum load of 1,600 Newtons, which is 25.69 stone, or 153.14kgs,"
Central Hall,https://centralhall.org.uk/,Southampton,Hampshire,,Requested - acknowledged,In Progress,,"We currently have a 360-tour element on our website which allows guests to ""walk"" around the venue. This will allow all guests to see the layout of the seating. I will pass the information on to the website team with regards to adding the dimensions of the seats. We always add an extra 2 rows of seating on the ground floor that are not sold with tickets to allow easier seating for people that need it."
Olympia,https://www.liverpoololympia.co.uk/,Liverpool,Merseyside,,Provided - Not on Website,Information Available - Win,,"G/f seating is 420mm no arm rests, can be single around tables or interlocked as part of a row.
Lower balcony is fixed seating is 450mm with arm rests. 
Upper balcony is 3 sections of long benches so I can't give you a width for those. 

The seating plan is different for each event. Examples can be found on our website. Fully seated shows have a seating plan in which customers can view the seat and choose according to their preference. 

Most events have seperate accessibility tickets where we provide a platform or seats that are at the end of the row. These seats include a free carer ticket for those customers that need assistance. These seats can also be moved to create more space or removed in the case of a wheelchair.  "
Brighton Centre,https://brightoncentre.co.uk/,Brighton,East Sussex,,Requested - Chased,Requested,,"12/06/23 - Requested
24/07/23 - Chased"
Birmingham Symphony Hall,https://bmusic.co.uk/,Birmingham,West Midlands,,Requested - Chased,Requested,,"12/06/23 - Requested
24/07/23 - Chased"
Town Hall,https://bmusic.co.uk/,Birmingham,West Midlands,,Requested - Chased,Requested,,"12/06/23 - Requested
24/07/23 - Chased"
Cadogan Hall,https://cadoganhall.com/,Chelsea,London,,Requested - Acknowledged,In Progress,,"12/06/23 - Requested
24/06/23 - Chased, confirmed passed to front of house manager. They requested samples from other venues, provided."
Cliffs Pavillion,https://southendtheatres.org.uk/,Southend,Essex,,Requested - Chased,Requested,,"12/06/23 - Requested
24/07/23 - Chased"
Palace Theatre,https://southendtheatres.org.uk/,Southend,Essex,,Requested - Chased,Requested,,"12/06/23 - Requested
24/07/23 - Chased"
Towngate Theatre,https://towngatetheatre.co.uk/,Basildon,Essex,,Requested - Chased,Requested,,"12/06/23 - Requested
24/07/23 - Chased"
Islington Assembly Hall,https://islingtonassemblyhall.co.uk/,Islington,Middlesex,,Provided - Not on Website,Information Available - Win,,"The width of seats in each area: 450mm. Armrests are fixed in the balcony. The balcony area has a capacity of 218 guests splits as 203 available seats, including 42 aisle seats, and an area at the back where up to 15 people can stand. The majority of our events offer unreserved seating/standing balcony tickets, which means it works on a first come first serve basis."
Belgrade Theatre,https://www.belgrade.co.uk/,Coventry,West Midlands,,Requested - Chased,Requested,,"12/06/23 - Requested
24/07/23 - Chased"
The Albany Theatre,https://www.albanytheatre.co.uk/,Coventry,West Midlands,,Provided - Not on Website,Information Available - Win,,"Our theatre is an art deco style 1920's theatre so our seats are very traditional still. The arms do not go up, all seats apart from the aisle seats have seats next to them, and all seats are the same size none for bigger people. We are going through a redevelopment at the moment and in a few years the seating will change."
CAST Theatre,https://castindoncaster.com/,Doncaster,South Yorkshire,,Requested - Acknowledged,In Progress,,"13/06/23 - Requested
24/07/23 - Chased. Confirmed they would work on it over the coming months. Check back in Sept."
Mercury Theatre,https://www.mercurytheatre.co.uk/,Colchester,Essex,,Requested - Chased,Requested,,"13/06/23 - Requested
24/07/23 - Chased"
Headgate Theatre,https://www.headgatetheatre.co.uk/,Colchester,Essex,,Requested - Chased,Requested,,"13/06/23 - Requested
24/07/23 - Chased"
Exeter Northcot Theatre,https://exeternorthcott.co.uk/,Exeter,Devon,,Requested - Chased,Requested,,"13/06/23 - Requested
24/07/23 - Chased"
Barnfield Theatre,https://exeternorthcott.co.uk/,Exeter,Devon,,Requested - Chased,Requested,,"13/06/23 - Requested
24/07/23 - Chased"
Exeter Corn Exchange,https://www.exetercornexchange.co.uk/,Exeter,Devon,,Provided - Not on Website,Information Available - Win,,"Our seats are quite narrow, we get the odd email from people complaining that the seats are too narrow.  Unfortunately we need to retain our capacity at 500 to attract the shows we host and that precludes us from having wider seats. No seats have arm rests. No seats are stand alone."
Kings Theatre,https://kingstheatregloucester.co.uk/,Gloucester,Gloucestershire,,Requested - Chased,Requested,,"13/06/23 - Requested
24/07/23 - Chased"
Gloucester Guildhall,https://www.gloucesterguildhall.co.uk/,Gloucester,Gloucestershire,https://www.gloucesterguildhall.co.uk/accessibility,Campaign Win,Information Available - Win,,https://www.gloucesterguildhall.co.uk/accessibility
Cheltenham Playhouse,https://cheltplayhouse.org.uk/,Cheltenham,Gloucestershire,,Requested - Chased,Requested,,"13/06/23 - Requested
24/07/23 - Chased"
Bacon Theatre,https://www.bacontheatre.co.uk/,Cheltenham,Gloucestershire,,Requested - Chased,Requested,,"13/06/23 - Requested
24/07/23 - Chased"
Everyman Theatre,https://www.everymantheatre.org.uk/,Cheltenham,Gloucestershire,,Requested - acknowledged,Requested,,"14/06/23 - Requested, Acknowleged via the Liverpool branch, chased 24/07."
Etihad Stadium,https://www.mancity.com/etihad-stadium,Manchester,Lancashire,,Requested - Chased,Requested,,"16/06/23 - Requested
24/07/23 - Chased"
Wembley Ovo Arena,https://www.ovoarena.co.uk/,London,London,,Already Existed,Information Available,,The seat base width is 378mm (1’3”)
Emirates Stadium,https://www.arsenal.com/the-club/emirates-stadium,London,London,,Requested - Chased,Requested,,"16/06/23 - Requested
24/07/23 - Chased"
Resorts World Arena,https://www.resortsworldarena.co.uk/,Birmingham,West Midlands,,Requested - Chased,Requested,,"16/06/23 - Requested
24/07/23 - Chased"
Coventry Building Society Arena,https://www.coventrybuildingsocietyarena.co.uk/,Coventry,West Midlands,,Requested - Chased,Requested,,"16/06/23 - Requested
24/07/23 - Chased"
